EntityId,EntityType,OrganizationName,Address1,Address2,City,State,Zip,County,GeoLat,GeoLong,Phone,NPI,Specialty1,SpecialtyDesc1,Specialty2,SpecialtyDesc2,Specialty3,SpecialtyDesc3,Specialty4,SpecialtyDesc4,Specialty5,SpecialtyDesc5
1477933,2,HEALTHONE CLINIC SERVICES ONCOLOGY HEMATOLOGY,1 Mercado St Ste 100,,Durango,CO,81301-7306,La Plata,37.236454,-107.825311,7207544800,1639704729,261Q00000X,Clinic or Center,,,,,,,,
205765,2,SOUTHWEST ONCOLOGY,1 Mercado St Ste 100,,Durango,CO,81301-7306,La Plata,37.236454,-107.825311,9703857977,1346506045,261Q00000X,Clinic or Center,,,,,,,,
241691,2,FOUR CORNERS OB/GYN,1 Mercado St Ste 105,,Durango,CO,81301-7311,La Plata,37.236454,-107.825311,9703828800,1861503948,261Q00000X,Clinic or Center,,,,,,,,
1478145,2,"OBSTETRIX MEDICAL GROUP OF COLORADO, P.C.",1 Mercado St Ste 105,,Durango,CO,81301-7311,La Plata,37.236454,-107.825311,9703828800,1932723384,261Q00000X,Clinic or Center,,,,,,,,
1333795,2,CARDIAC AND THORACIC SURGERY ASSOCIATES PC,1 Mercado St Ste 130,,Durango,CO,81301-7306,La Plata,37.236454,-107.825311,7197767600,1780226225,261Q00000X,Clinic or Center,,,,,,,,
132452,2,CATHOLIC HEALTH INITIATIVES COLORADO,1 Mercado St Ste 130,,Durango,CO,81301-7306,La Plata,37.236454,-107.825311,9702471120,1770877185,261Q00000X,Clinic or Center,,,,,,,,
1830664,2,COLORADO SPRINGS CARDIOLOGY A CHC,1 Mercado St Ste 130,,Durango,CO,81301-7306,La Plata,37.236454,-107.825311,9702471120,1679182257,261Q00000X,Clinic or Center,,,,,,,,
146133,2,SOUTHWEST MIDWIVES,1 Mercado St Ste 145,,Durango,CO,81301-7311,La Plata,37.236454,-107.825311,9702475543,1205990165,261Q00000X,Clinic or Center,,,,,,,,
143120,2,MOUNTAIN BLOOM ORIENTAL MEDICINE LLC,1 Mercado St Ste 150,,Durango,CO,81301-7311,La Plata,37.236454,-107.825311,9707698730,1861724585,261Q00000X,Clinic or Center,,,,,,,,
112915,2,SPINE COLORADO PC,1 Mercado St Ste 200,,Durango,CO,81301-7308,La Plata,37.236454,-107.825311,9703829500,1083665657,261Q00000X,Clinic or Center,,,,,,,,
100473,2,THREE SPRINGS IMAGING LLC,1 Mercado St Ste 200A,,Durango,CO,81301-7307,La Plata,37.236454,-107.825311,9707649280,1982159232,261Q00000X,Clinic or Center,261QR0200X,Radiology Clinic,,,,,,
114583,2,MERCY INTEGRATED PHYSICAL THERAPY,1 Mercado St Ste 201,,Durango,CO,81301-7307,La Plata,37.236454,-107.825311,9702479632,1093137796,261QP2000X,Physical Therapy Facility,261QR0400X,Rehabilitation Facility,,,,,,
115421,2,CATHOLIC HEALTH INITIATIVES COLORADO,1 Mercado St Ste 202,,Durango,CO,81301-7307,La Plata,37.236454,-107.825311,9702475360,1881078608,261Q00000X,Clinic or Center,,,,,,,,
175923,2,SOUTHWESTERN COLORADO EAR NOSE AND THROAT CORP,1 Mercado St Ste 205,,Durango,CO,81301-7310,La Plata,37.236454,-107.825311,9703857272,1689607947,261Q00000X,Clinic or Center,,,,,,,,
106331,2,MERCY SURGICAL ASSOCIATES,1 Mercado St Ste 220,,Durango,CO,81301-7310,La Plata,37.236454,-107.825311,9707643450,1578819504,261Q00000X,Clinic or Center,,,,,,,,
235281,2,DENVER URGENT CARE PROFESSIONAL LLC,1 N Broadway Bldg 100,,Denver,CO,80203-3959,Denver,,,3034556345,1528003662,261Q00000X,Clinic or Center,261QU0200X,Urgent Care Clinic,,,,,,
237834,2,"ALAN F. STAGE MD, A PLLC",1 Oakwood Park Plz Ste 101,,Castle Rock,CO,80104-1849,Douglas,39.378882,-104.851399,3036882320,1114188695,261Q00000X,Clinic or Center,,,,,,,,
